day,energy_demand_kwh,cid,freight_forwarder
2021-10-12,9.614531393253856e-14,745,2
2021-10-13,3.161915174132446e-13,0,1
2021-10-13,-3.730349362740526e-14,2,3
2021-10-13,2.842170943040401e-14,4,3
2021-10-13,-1.4210854715202004e-14,20,3
2021-10-13,2.020605904817785e-14,26,3
2021-10-13,-1.1679546219056647e-13,745,2
2021-10-14,3.959055305813308e-13,0,1
2021-10-14,7.283063041541027e-14,2,3
2021-10-14,2.842170943040401e-14,4,3
2021-10-14,-4.618527782440651e-14,20,3
2021-10-14,0.0,26,3
2021-10-14,1.7363888105137448e-13,745,2
2021-10-15,4.973799150320701e-13,0,1
2021-10-15,-7.105427357601002e-15,2,3
2021-10-15,0.0,4,3
2021-10-15,2.842170943040401e-14,20,3
2021-10-15,-8.659739592076221e-14,26,3
2021-10-15,1.432187701766452e-13,745,2
2021-10-17,1.0436096431476471e-14,0,1
2021-10-17,8.881784197001252e-15,2,3
2021-10-18,10.577238000000138,0,1
2021-10-18,-3.552713678800501e-15,2,3
2021-10-18,3.907985046680551e-14,4,3
2021-10-18,-1.021405182655144e-14,26,3
2021-10-18,-6.439293542825908e-14,745,2
2021-10-19,4.0234482412415673e-13,0,1
2021-10-19,1.4832579608992091e-13,2,3
2021-10-19,-2.6645352591003757e-14,4,3
2021-10-19,0.0,20,3
2021-10-19,3.375077994860476e-14,26,3
2021-10-19,1.4210854715202004e-13,745,2
2021-10-20,-1.0658141036401503e-13,0,1
2021-10-20,-2.1316282072803006e-14,2,3
2021-10-20,1.0658141036401503e-14,4,3
2021-10-20,1.0658141036401503e-14,20,3
2021-10-20,-7.505107646466058e-14,26,3
2021-10-20,-4.884981308350689e-14,502,4
2021-10-20,-1.2434497875801753e-14,745,2
2021-10-21,2.970956813896919e-13,0,1
2021-10-21,-3.730349362740526e-14,2,3
2021-10-21,0.0,20,3
2021-10-21,4.618527782440651e-14,26,3
2021-10-21,9.769962616701378e-15,502,4
2021-10-21,-2.1316282072803006e-14,745,2
2021-10-22,-6.306066779870889e-14,0,1
2021-10-22,1.7763568394002505e-14,2,3
2021-10-22,2.1316282072803006e-14,4,3
2021-10-22,-1.4210854715202004e-14,20,3
2021-10-22,-5.906386491005833e-14,26,3
2021-10-22,2.3714363805993344e-13,502,4
2021-10-22,3.907985046680551e-14,745,2
2021-10-23,0.0,0,1
2021-10-23,2.1316282072803006e-14,2,3
2021-10-23,2.4868995751603507e-14,4,3
2021-10-23,-8.881784197001252e-16,20,3
2021-10-23,0.0,502,4
2021-10-23,-7.105427357601002e-15,745,2
2021-10-25,-2.6645352591003757e-14,0,1
2021-10-25,-8.526512829121202e-14,2,3
2021-10-25,0.0,4,3
2021-10-25,15.303329000000028,26,3
2021-10-25,-1.7763568394002505e-15,502,4
2021-10-25,-1.0835776720341528e-13,745,2
2021-10-26,2.7622348852673895e-13,0,1
2021-10-26,1.5276668818842154e-13,2,3
2021-10-26,0.0,4,3
2021-10-26,7.105427357601002e-14,26,3
2021-10-26,-3.930189507173054e-14,502,4
2021-10-26,-7.460698725481052e-14,745,2
2021-10-27,3.277378368693462e-13,0,1
2021-10-27,1.4210854715202004e-14,2,3
2021-10-27,-3.552713678800501e-15,4,3
2021-10-27,-7.549516567451064e-14,26,3
2021-10-27,17.052297999999933,502,4
2021-10-27,1.9118040484045196e-13,745,2
2021-10-28,6.712408406883696e-13,0,1
2021-10-28,6.394884621840902e-14,2,3
2021-10-28,0.0,4,3
2021-10-28,2.842170943040401e-14,26,3
2021-10-28,-1.3233858453531866e-13,502,4
2021-10-28,-1.1102230246251565e-13,745,2
2021-10-29,-6.927791673660977e-14,0,1
2021-10-29,9.237055564881302e-14,2,3
2021-10-29,5.3290705182007514e-14,26,3
2021-10-29,2.5224267119483557e-13,502,4
2021-10-29,-7.061018436615996e-14,745,2
2021-10-30,-1.4210854715202004e-14,0,1
2021-10-30,4.263256414560601e-14,26,3
2021-10-30,5.027089855502709e-13,502,4
2021-10-31,5.440092820663267e-14,0,1
2021-11-01,-1.0658141036401503e-14,502,4
2021-11-01,-1.5987211554602254e-14,745,2
2021-11-02,6.084022174945858e-14,0,1
2021-11-02,-1.4210854715202004e-14,2,3
2021-11-02,0.0,4,3
2021-11-02,-5.684341886080802e-14,20,3
2021-11-02,-1.509903313490213e-14,26,3
2021-11-02,-5.417888360170764e-14,502,4
2021-11-02,3.5083047578154947e-14,745,2
2021-11-03,2.2648549702353193e-14,0,1
2021-11-03,-2.3092638912203256e-14,2,3
2021-11-03,-2.1316282072803006e-14,4,3
2021-11-03,4.263256414560601e-14,20,3
2021-11-03,7.549516567451064e-15,26,3
2021-11-03,-9.592326932761353e-14,502,4
2021-11-03,3.375077994860476e-14,745,2
2021-11-04,7.904787935331115e-14,0,1
2021-11-04,-4.75175454539567e-14,2,3
2021-11-04,7.105427357601002e-15,20,3
2021-11-04,1.3677947663381929e-13,26,3
2021-11-04,-4.18332035678759e-13,502,4
2021-11-04,1.2789769243681803e-13,745,2
2021-11-05,-7.394085344003543e-14,0,1
2021-11-05,-2.842170943040401e-14,2,3
2021-11-05,7.105427357601002e-15,20,3
2021-11-05,4.884981308350689e-14,26,3
2021-11-05,-5.5067062021407764e-14,502,4
2021-11-05,3.241851231905457e-14,745,2
2021-11-06,-4.547473508864641e-13,502,4
2021-11-07,-7.105427357601002e-15,502,4
2021-11-08,-3.574918139293004e-14,0,1
2021-11-08,4.263256414560601e-14,2,3
2021-11-08,4.973799150320701e-14,26,3
2021-11-08,-4.6407322429331543e-14,502,4
2021-11-08,5.240252676230739e-14,745,2
2021-11-09,-4.4364512064021255e-13,0,1
2021-11-09,9.237055564881302e-14,2,3
2021-11-09,3.3306690738754696e-14,26,3
2021-11-09,-1.0125233984581428e-13,502,4
2021-11-09,-1.7053025658242404e-13,745,2
2021-11-10,-3.7836400679225335e-13,0,1
2021-11-10,-1.9539925233402755e-14,2,3
2021-11-10,-4.263256414560601e-14,26,3
2021-11-10,-1.8207657603852567e-13,502,4
2021-11-10,7.105427357601002e-15,745,2
2021-11-11,3.907985046680551e-14,0,1
2021-11-11,-3.8191672047105385e-14,2,3
2021-11-11,-1.4210854715202004e-14,4,3
2021-11-11,-1.0658141036401503e-14,20,3
2021-11-11,3.530509218307998e-14,26,3
2021-11-11,1.7408297026122455e-13,502,4
2021-11-11,7.283063041541027e-14,745,2
2021-11-12,3.0375701953744283e-13,0,1
2021-11-12,3.375077994860476e-14,2,3
2021-11-12,-2.842170943040401e-14,4,3
2021-11-12,-1.2434497875801753e-14,20,3
2021-11-12,0.0,26,3
2021-11-12,3.055333763768431e-13,502,4
2021-11-12,-7.460698725481052e-14,745,2
2021-11-13,2.842170943040401e-14,0,1
2021-11-13,-2.842170943040401e-14,4,3
2021-11-13,4.547473508864641e-13,502,4
2021-11-14,3.597122599785507e-14,0,1
2021-11-15,-9.059419880941277e-14,0,1
2021-11-15,8.526512829121202e-14,2,3
2021-11-15,-1.509903313490213e-14,4,3
2021-11-15,-9.103828801926284e-14,26,3
2021-11-15,-1.6342482922482304e-13,502,4
2021-11-15,1.0458300891968975e-13,745,2
2021-11-16,1.5276668818842154e-13,0,1
2021-11-16,-1.0302869668521453e-13,2,3
2021-11-16,-2.1316282072803006e-14,4,3
2021-11-16,-9.192646643896296e-14,26,3
2021-11-16,2.2737367544323206e-13,502,4
2021-11-16,2.4868995751603507e-14,745,2
2021-11-17,-2.071676163950542e-13,0,1
2021-11-17,2.1316282072803006e-14,2,3
2021-11-17,2.1316282072803006e-14,20,3
2021-11-17,-1.532107773982716e-14,26,3
2021-11-17,-5.360156762890256e-13,502,4
2021-11-17,1.1124434706744069e-13,745,2
2021-11-18,-1.1013412404281553e-13,0,1
2021-11-18,-1.0658141036401503e-14,2,3
2021-11-18,-5.329070518200751e-15,4,3
2021-11-18,-2.3092638912203256e-14,20,3
2021-11-18,-4.263256414560601e-14,26,3
2021-11-18,1.3589129821411916e-13,502,4
2021-11-18,-1.3500311979441904e-13,745,2
2021-11-19,4.1744385725905886e-14,0,1
2021-11-19,-8.970602038971265e-14,2,3
2021-11-19,-1.2612133559741778e-13,26,3
2021-11-19,5.17808018685173e-13,502,4
2021-11-19,-1.6919798895287386e-13,745,2
2021-11-20,1.4210854715202004e-14,0,1
2021-11-20,0.0,26,3
2021-11-20,0.0,502,4
2021-11-20,-3.552713678800501e-14,745,2
2021-11-22,-1.3655743202889425e-13,0,1
2021-11-22,3.552713678800501e-14,2,3
2021-11-22,-1.4210854715202004e-14,20,3
2021-11-22,9.325873406851315e-15,26,3
2021-11-22,5.950795411990839e-14,502,4
2021-11-22,1.865174681370263e-14,745,2
2021-11-23,-1.7674750552032492e-13,0,1
2021-11-23,3.552713678800501e-15,2,3
2021-11-23,5.684341886080802e-14,20,3
2021-11-23,-6.039613253960852e-14,26,3
2021-11-23,179.57292600000036,502,4
2021-11-23,3.26405569239796e-14,745,2
2021-11-24,-2.6290081223123707e-13,0,1
2021-11-24,2.1316282072803006e-14,2,3
2021-11-24,2.0961010704922955e-13,26,3
2021-11-24,-2.708944180085382e-13,502,4
2021-11-24,-2.842170943040401e-14,745,2
2021-11-25,7.105427357601002e-14,0,1
2021-11-25,1.7763568394002505e-14,2,3
2021-11-25,-4.263256414560601e-14,20,3
2021-11-25,5.684341886080802e-14,26,3
2021-11-25,1.971756091734278e-13,502,4
2021-11-25,8.926193117986259e-14,745,2
2021-11-26,1.1657341758564144e-13,0,1
2021-11-26,-2.4868995751603507e-14,2,3
2021-11-26,-2.1316282072803006e-14,20,3
2021-11-26,-1.0658141036401503e-13,26,3
2021-11-26,1.2612133559741778e-13,502,4
2021-11-26,1.6142642778049776e-13,745,2
2021-11-27,3.552713678800501e-15,0,1
2021-11-27,-8.348877145181177e-14,502,4
2021-11-29,1.2612133559741778e-13,0,1
2021-11-29,5.062616992290714e-14,2,3
2021-11-29,-3.197442310920451e-14,26,3
2021-11-29,-2.2604140781368187e-13,502,4
2021-11-29,2.842170943040401e-14,745,2
2021-11-30,4.3298697960381105e-14,0,1
2021-11-30,-1.4210854715202004e-14,2,3
2021-11-30,1.4210854715202004e-14,20,3
2021-11-30,-1.4210854715202004e-14,26,3
2021-11-30,-9.237055564881302e-14,502,4
2021-11-30,1.8474111129762605e-13,745,2
2021-12-01,2.8421709430404007e-13,0,1
2021-12-01,3.4638958368304884e-14,2,3
2021-12-01,-2.4868995751603507e-14,20,3
2021-12-01,1.1368683772161603e-13,26,3
2021-12-01,2.9665159217984183e-13,502,4
2021-12-01,7.815970093361102e-14,745,2
2021-12-02,2.5512925105886097e-13,0,1
2021-12-02,8.526512829121202e-14,2,3
2021-12-02,1.5631940186722204e-13,26,3
2021-12-02,6.394884621840902e-13,502,4
2021-12-02,4.884981308350689e-15,745,2
2021-12-03,-1.8474111129762605e-13,0,1
2021-12-03,-4.3520742565306136e-14,2,3
2021-12-03,-5.684341886080802e-14,4,3
2021-12-03,3.019806626980426e-14,26,3
2021-12-03,7.502513000000205,502,4
2021-12-03,-9.614531393253856e-14,745,2
2021-12-04,-4.547473508864641e-13,502,4
2021-12-04,-9.50350909079134e-14,745,2
2021-12-06,-4.440892098500626e-15,0,1
2021-12-06,1.0658141036401503e-14,2,3
2021-12-06,-5.684341886080802e-14,4,3
2021-12-06,1.7763568394002505e-14,20,3
2021-12-06,3.730349362740526e-14,26,3
2021-12-06,5.613287612504791e-13,502,4
2021-12-06,-7.904787935331115e-14,745,2
2021-12-07,1.8207657603852567e-14,0,1
2021-12-07,8.171241461241152e-14,2,3
2021-12-07,1.5987211554602254e-14,4,3
2021-12-07,-3.907985046680551e-14,20,3
2021-12-07,-7.105427357601002e-14,26,3
2021-12-07,9.903189379656396e-14,502,4
2021-12-07,-1.4210854715202004e-14,745,2
2021-12-08,-3.552713678800501e-15,0,1
2021-12-08,3.019806626980426e-14,2,3
2021-12-08,-2.1316282072803006e-14,4,3
2021-12-08,-4.3520742565306136e-14,26,3
2021-12-08,1.1368683772161603e-13,502,4
2021-12-08,3.552713678800501e-14,745,2
2021-12-09,-9.237055564881302e-14,0,1
2021-12-09,0.0,4,3
2021-12-09,-1.0658141036401503e-14,20,3
2021-12-09,-2.531308496145357e-14,26,3
2021-12-09,8.490985692333197e-13,502,4
2021-12-09,-1.532107773982716e-14,745,2
2021-12-10,7.72715225139109e-14,0,1
2021-12-10,7.105427357601002e-15,2,3
2021-12-10,2.842170943040401e-14,4,3
2021-12-10,-1.3011813848606835e-13,26,3
2021-12-10,-8.835154829966996e-13,502,4
2021-12-10,4.1255887595070817e-13,745,2
2021-12-11,3.5926817076870066e-13,502,4
2021-12-11,-3.108624468950438e-14,745,2
2021-12-12,-5.1958437552457326e-14,0,1
2021-12-12,-1.7763568394002505e-15,745,2
2021-12-13,4.405364961712621e-13,0,1
2021-12-13,1.9539925233402755e-14,2,3
2021-12-13,2.1316282072803006e-14,20,3
2021-12-13,-2.1316282072803006e-14,26,3
2021-12-13,1.0036416142611415e-13,502,4
2021-12-13,5.950795411990839e-14,745,2
2021-12-14,1.9539925233402755e-13,0,1
2021-12-14,-8.881784197001252e-15,2,3
2021-12-14,-2.1316282072803006e-14,4,3
2021-12-14,2.4868995751603507e-14,20,3
2021-12-14,1.7763568394002505e-15,26,3
2021-12-14,-4.576339307504895e-13,502,4
2021-12-14,2.353672812205332e-14,745,2
2021-12-15,-1.474376176702208e-13,0,1
2021-12-15,1.5987211554602254e-14,2,3
2021-12-15,2.842170943040401e-14,4,3
2021-12-15,2.6645352591003757e-14,20,3
2021-12-15,9.747758156208874e-14,26,3
2021-12-15,2.042810365310288e-14,102,5
2021-12-15,-2.0938806244430452e-13,502,4
2021-12-15,-9.947598300641403e-14,745,2
2021-12-16,1.9539925233402755e-14,0,1
2021-12-16,-9.947598300641403e-14,2,3
2021-12-16,0.0,26,3
2021-12-16,3.552713678800501e-14,102,5
2021-12-16,-1.4210854715202004e-13,502,4
2021-12-16,1.5498713423767185e-13,745,2
2021-12-16,0.0,1265,5
2021-12-17,2.540190280342358e-13,0,1
2021-12-17,9.325873406851315e-15,2,3
2021-12-17,1.7763568394002505e-15,20,3
2021-12-17,3.907985046680551e-14,26,3
2021-12-17,1.6209256159527285e-13,102,5
2021-12-17,-1.949551631241775e-13,502,4
2021-12-17,-8.215650382226158e-15,745,2
2021-12-17,2.1316282072803006e-14,1265,5
2021-12-18,-1.7763568394002505e-15,0,1
2021-12-18,-2.7755575615628914e-14,102,5
2021-12-18,4.4786396813378815e-13,502,4
2021-12-19,-3.042011087472929e-14,102,5
2021-12-20,7.793765632868599e-14,0,1
2021-12-20,1.1368683772161603e-13,2,3
2021-12-20,-8.881784197001252e-14,4,3
2021-12-20,7.904787935331115e-14,26,3
2021-12-20,2.1582735598713043e-13,102,5
2021-12-20,1.0391687510491465e-13,502,4
2021-12-20,-7.72715225139109e-14,745,2
2021-12-20,1.9984014443252818e-14,868,5
2021-12-21,-3.552713678800501e-15,0,1
2021-12-21,-2.842170943040401e-14,2,3
2021-12-21,1.1546319456101628e-14,26,3
2021-12-21,1.6964207816272392e-13,102,5
2021-12-21,4.04121180963557e-14,502,4
2021-12-21,9.769962616701378e-15,745,2
2021-12-21,-2.1316282072803006e-14,868,5
2021-12-22,2.504663143554353e-13,0,1
2021-12-22,1.1457501614131615e-13,2,3
2021-12-22,1.0125233984581428e-13,26,3
2021-12-22,-1.4876988529977098e-13,102,5
2021-12-22,4.440892098500626e-13,502,4
2021-12-22,4.2166270475263445e-13,745,2
2021-12-22,2.1316282072803006e-14,868,5
2021-12-23,-8.149037000748649e-14,0,1
2021-12-23,-7.105427357601002e-15,2,3
2021-12-23,8.79296635503124e-14,26,3
2021-12-23,1.8895995879120164e-13,102,5
2021-12-23,2.8066438062523957e-13,502,4
2021-12-23,2.930988785010413e-14,745,2
2021-12-23,5.329070518200751e-15,868,5
2021-12-24,4.263256414560601e-14,102,5
2021-12-24,1.4210854715202004e-13,502,4
2021-12-24,8.43769498715119e-14,868,5
2021-12-26,2.6645352591003757e-14,102,5
2021-12-26,9.525713551283843e-14,745,2
2021-12-27,-5.639932965095795e-14,0,1
2021-12-27,-2.4868995751603507e-14,2,3
2021-12-27,-8.881784197001252e-15,20,3
2021-12-27,3.419486915845482e-14,26,3
2021-12-27,9.059419880941277e-14,102,5
2021-12-27,-8.171241461241152e-13,502,4
2021-12-27,1.7763568394002505e-15,745,2
2021-12-27,4.263256414560601e-14,868,5
2021-12-28,2.842170943040401e-14,20,3
2021-12-28,1.6719958750854857e-13,102,5
2021-12-28,-8.881784197001252e-16,502,4
2021-12-28,-1.4876988529977098e-13,745,2
2021-12-28,-3.8191672047105385e-14,868,5
2021-12-29,2.1316282072803006e-14,20,3
2021-12-29,-7.149836278586008e-14,102,5
2021-12-29,0.0,502,4
2021-12-29,-3.774758283725532e-14,745,2
2021-12-29,1.1546319456101628e-14,868,5
2021-12-30,-7.105427357601002e-15,0,1
2021-12-30,-3.8191672047105385e-14,102,5
2021-12-30,-1.7053025658242404e-13,502,4
2021-12-30,-1.8962609260597674e-13,745,2
2021-12-30,5.1514348342607263e-14,868,5
2021-12-31,8.149037000748649e-14,102,5
2021-12-31,0.0,502,4
2021-12-31,5.684341886080802e-14,745,2
2021-12-31,-5.684341886080802e-14,868,5
2022-01-01,0.0,102,5
2022-01-02,3.552713678800501e-15,0,1
2022-01-02,5.395683899678261e-14,102,5
2022-01-02,-4.263256414560601e-14,868,5
2022-01-03,1.0658141036401503e-14,0,1
2022-01-03,0.0,20,3
2022-01-03,1.2922996006636822e-13,102,5
2022-01-03,2.3669954885008337e-13,502,4
2022-01-03,-9.281464485866309e-14,745,2
2022-01-03,-6.128431095930864e-14,868,5
2022-01-04,-3.552713678800501e-14,0,1
2022-01-04,-5.684341886080802e-14,20,3
2022-01-04,1.4432899320127035e-13,102,5
2022-01-04,-1.0125233984581428e-13,502,4
2022-01-04,-4.440892098500626e-14,745,2
2022-01-04,1.4210854715202004e-14,868,5
2022-01-05,-2.7711166694643907e-13,0,1
2022-01-05,-7.105427357601002e-15,2,3
2022-01-05,-1.0658141036401503e-14,20,3
2022-01-05,6.394884621840902e-14,26,3
2022-01-05,6.261657858885883e-14,102,5
2022-01-05,0.0,502,4
2022-01-05,1.836308882730009e-13,745,2
2022-01-05,2.842170943040401e-14,868,5
2022-01-06,-1.7763568394002505e-14,0,1
2022-01-06,-6.572520305780927e-14,102,5
2022-01-06,0.0,502,4
2022-01-06,0.0,745,2
2022-01-06,1.7763568394002505e-14,868,5
2022-01-07,-1.3766765505351941e-14,0,1
2022-01-07,-7.105427357601002e-15,20,3
2022-01-07,6.838973831690964e-14,102,5
2022-01-07,-1.829647544582258e-13,502,4
2022-01-07,2.842170943040401e-14,745,2
2022-01-07,-1.9539925233402755e-14,868,5
2022-01-08,-2.842170943040401e-14,20,3
2022-01-08,-7.416289804496046e-14,102,5
2022-01-08,2.2737367544323206e-13,502,4
2022-01-08,2.1671553440683056e-13,745,2
2022-01-08,4.973799150320701e-14,868,5
2022-01-09,5.417888360170764e-14,102,5
2022-01-09,3.197442310920451e-14,868,5
2022-01-09,4.4853010194856324e-14,1265,5
2022-01-10,2.842170943040401e-14,0,1
2022-01-10,2.4868995751603507e-14,20,3
2022-01-10,7.704947790898586e-14,26,3
2022-01-10,9.43689570931383e-14,102,5
2022-01-10,-2.842170943040401e-14,502,4
2022-01-10,1.2434497875801753e-13,745,2
2022-01-10,-3.552713678800501e-14,868,5
2022-01-10,0.0,1265,5
2022-01-11,4.1389114358025836e-13,0,1
2022-01-11,-1.4210854715202004e-14,20,3
2022-01-11,0.0,26,3
2022-01-11,-1.34781075189494e-13,102,5
2022-01-11,4.3876013933186186e-13,502,4
2022-01-11,2.1760371282653068e-13,745,2
2022-01-11,3.552713678800501e-15,868,5
2022-01-11,-6.394884621840902e-14,1251,5
2022-01-11,2.3092638912203256e-14,1265,5
2022-01-12,-1.247890679678676e-13,0,1
2022-01-12,8.526512829121202e-14,4,3
2022-01-12,2.842170943040401e-14,26,3
2022-01-12,1.2723155862204294e-13,102,5
2022-01-12,1.3322676295501878e-14,502,4
2022-01-12,-8.526512829121202e-14,745,2
2022-01-12,-1.4210854715202004e-14,868,5
2022-01-12,-2.2515322939398175e-13,1251,5
2022-01-12,0.0,1265,5
2022-01-13,-3.532729664357248e-13,0,1
2022-01-13,-5.3734794391857577e-14,2,3
2022-01-13,2.842170943040401e-14,20,3
2022-01-13,7.283063041541027e-14,26,3
2022-01-13,-8.948397578478762e-14,102,5
2022-01-13,-1.9984014443252818e-13,502,4
2022-01-13,7.194245199571014e-14,745,2
2022-01-13,-2.3092638912203256e-14,868,5
2022-01-13,1.5187850976872141e-13,1251,5
2022-01-13,-5.684341886080802e-14,1265,5
2022-01-14,-6.661338147750939e-14,0,1
2022-01-14,0.0,2,3
2022-01-14,1.4210854715202004e-14,20,3
2022-01-14,-3.1086244689504383e-15,26,3
2022-01-14,-3.68594044175552e-14,102,5
2022-01-14,-2.7489122089718876e-13,502,4
2022-01-14,-1.0036416142611415e-13,745,2
2022-01-14,2.1316282072803006e-14,868,5
2022-01-14,-2.6645352591003757e-14,1251,5
2022-01-14,-2.842170943040401e-14,1265,5
2022-01-15,3.3306690738754696e-15,102,5
2022-01-15,-2.1671553440683056e-13,502,4
2022-01-15,3.907985046680551e-14,745,2
2022-01-15,5.417888360170764e-14,868,5
2022-01-16,-8.282263763703668e-14,102,5
2022-01-16,0.0,868,5
2022-01-16,5.062616992290714e-14,1251,5
2022-01-17,-7.327471962526033e-15,0,1
2022-01-17,-1.7763568394002505e-15,2,3
2022-01-17,1.4210854715202004e-14,4,3
2022-01-17,-1.9539925233402755e-14,20,3
2022-01-17,7.460698725481052e-14,26,3
2022-01-17,1.20570220474292e-13,102,5
2022-01-17,-5.3290705182007514e-14,502,4
2022-01-17,3.108624468950438e-14,745,2
2022-01-17,3.197442310920451e-14,868,5
2022-01-17,-8.260059303211165e-14,1251,5
2022-01-17,0.0,1265,5
2022-01-18,-1.4210854715202004e-14,0,1
2022-01-18,0.0,2,3
2022-01-18,5.684341886080802e-14,20,3
2022-01-18,-8.348877145181177e-14,26,3
2022-01-18,-7.571721027943568e-14,102,5
2022-01-18,2.291500322826323e-13,502,4
2022-01-18,1.1368683772161603e-13,745,2
2022-01-18,-5.595524044110789e-14,868,5
2022-01-18,1.8474111129762605e-13,1251,5
2022-01-18,0.0,1265,5
2022-01-19,1.5543122344752192e-13,0,1
2022-01-19,2.842170943040401e-14,2,3
2022-01-19,-7.815970093361102e-14,26,3
2022-01-19,-1.3145040611561853e-13,102,5
2022-01-19,2.0961010704922955e-13,502,4
2022-01-19,-1.5987211554602254e-14,745,2
2022-01-19,7.460698725481052e-14,868,5
